
> dev
> vite

[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m
Port 3000 is in use, trying another one...
Port 3001 is in use, trying another one...
Port 3002 is in use, trying another one...
Port 3003 is in use, trying another one...
Port 3004 is in use, trying another one...

  VITE v5.4.21  ready in 170 ms
2:01:26 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/numba/core/annotations/template.html
2:01:27 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/external.html
2:01:27 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/simple/foobar/index.html
2:01:28 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/external.html
2:01:28 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/simple/foobar/index.html
2:09:07 AM [vite] page reload deploy/frontend/dist/index.html
2:09:21 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/torch/utils/model_dump/skeleton.html
2:09:24 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/numba/core/annotations/template.html
2:09:25 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/external.html
2:09:25 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/simple/foobar/index.html
2:50:54 AM [vite] .env changed, restarting server...
2:50:54 AM [vite] server restarted.
3:06:16 AM [vite] .env changed, restarting server...
3:06:16 AM [vite] server restarted.
3:12:19 AM [vite] .env changed, restarting server...
3:12:19 AM [vite] server restarted.
3:12:29 AM [vite] .env changed, restarting server...
3:12:30 AM [vite] server restarted.
3:36:38 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/torch/utils/model_dump/skeleton.html
3:36:39 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/numba/core/annotations/template.html
3:36:39 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/external.html
3:36:39 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/simple/foobar/index.html
3:36:39 AM [vite] page reload deploy/frontend/index.html
3:36:39 AM [vite] page reload deploy/frontend/dist/index.html
8:54:30 PM [vite] .env changed, restarting server...
Re-optimizing dependencies because lockfile has changed
8:54:30 PM [vite] server restarted.
8:30:30 PM [vite] vite.config.js changed, restarting server...
8:30:31 PM [vite] server restarted.
10:16:52 PM [vite] .env changed, restarting server...
10:16:52 PM [vite] server restarted.
11:50:02 PM [vite] vite.config.js changed, restarting server...
11:50:02 PM [vite] server restarted.
12:08:44 AM [vite] vite.config.js changed, restarting server...
12:08:45 AM [vite] server restarted.
9:01:26 PM [vite] .env changed, restarting server...
9:01:26 PM [vite] server restarted.
12:56:20 AM [vite] .env changed, restarting server...
12:56:21 AM [vite] server restarted.
1:03:16 AM [vite] .env changed, restarting server...
1:03:16 AM [vite] server restarted.
2:25:53 AM [vite] .env changed, restarting server...
2:25:54 AM [vite] server restarted.
8:11:48 PM [vite] .env changed, restarting server...
8:11:48 PM [vite] server restarted.
8:57:47 PM [vite] .env changed, restarting server...
8:57:47 PM [vite] server restarted.
n3.14/site-packa2:09:25 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/external.html
2:09:25 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/si2:50:54 AM [vite] .env changed, restarting server...
2:50:54 AM [vite] server restarted.
3:06:16 AM [vite] .env changed, restarting server...
3:06:16 AM [vite] server restarted.
3:12:19 AM [vite] .env changed, restarting server...
3:12:19 AM [vite] server restarted.
3:12:29 AM [vite] .env changed, restarting server...
3:12:30 AM [vite] server restarted.
3:36:38 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/torch/utils/model_dump/skeleton.html
3:36:39 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packa3:36:39 AM [vite] page reload deploy/spee3:36:39 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/external.html
3:36:39 AM [vite] page reload deploy/speech-service/venv/lib/python3.14/site-packages/setuptools/tests/indexes/test_links_priority/simple/foobar/index.html
3:36:39 AM [vite] page reload deploy/frontend/index.html
3:36:39 AM [vite] page reload deploy/frontend/dist/index.html
8:54:30 PM [vite] .env changed, restarting server...
Re-optimizing dependencies because lockfile has changed
8:54:30 PM [vite] server restarted.
8:30:30 PM [vite] vite.config.js changed, restarting server...
8:30:31 PM [vite] server restarted.
10:16:52 PM [vite] .env changed, restarting server...
10:16:52 PM [vite] server restarted.
11:50:02 PM [vite] vite.config.js changed, restarting server...
11:50:02 PM [vite] server restarted.
12:08:44 AM [vite] vite.config.js changed, restarting server...
12:08:45 AM [vite] server restarted.
9:01:26 PM [vite] .env changed, restarting server...
9:01:26 PM [vite] server restarted.
12:56:20 AM [vite] .env changed, restarting server...
12:56:21 AM [vite] server restarted.
1:03:16 AM [vite] .env changed, restarting server...
1:03:16 AM [vite] server restarted.
2:25:53 AM [vite] .env changed, restarting server...
2:25:54 AM [vite] server restarted.
8:11:48 PM [vite] .env changed, restarting server...
8:11:48 PM [vite] server restarted.
8:57:47 PM [vite] .env changed, restarting server...
8:57:47 PM [vite] server restarted.
 PM [vite] .env changed, restarting server...
8:57:47 PM [vite] server restarted.
